player,team,position,position_group,age,minutes,PC1,PC2,PC3,observed_features,imputed_features,distance_per90,sprints_per90,intensive_runs_per90,duels_won_per90,aerial_duels_won_per90,tackles_won_per90,interceptions_per90,fouls_committed_per90,fouls_drawn_per90,crosses_per90,top_speed_kmh
Bazoumana Touré,Hoffenheim,"MF,FW",MF,19.0,2308.0,2.535915617185793,-1.2570179630651657,-1.036699786497745,11,0,10.778162911611783,29.753032928942808,81.10918544194108,10.528596187175044,1.1308492201039861,0.8578856152512998,0.2339688041594454,1.7157712305025996,1.1308492201039861,4.601386481802426,35.98
Bernardo,Hoffenheim,DF,DF,30.0,2312.0,-0.0956499246239004,3.648838584411506,0.6786511572649275,11,0,10.634948096885813,12.690311418685122,55.82179930795848,13.507785467128027,4.554498269896194,1.6349480968858132,1.518166089965398,1.6349480968858132,0.4282006920415225,0.6228373702422145,32.25
Fisnik Asllani,Hoffenheim,"FW,MF",FW,22.0,2335.0,-0.28133933480968343,-0.7752693236550066,-1.5853687262013774,11,0,11.906209850107064,12.565310492505354,81.09635974304068,8.518201284796573,1.0021413276231264,0.2698072805139186,0.19271948608137046,1.0021413276231264,1.4261241970021414,0.3854389721627409,31.76
Grischa Prömel,Hoffenheim,MF,MF,30.0,1758.0,1.2022960316644344,0.26736199181493747,-0.6095605217351251,11,0,13.372013651877133,17.098976109215016,87.84982935153583,9.522184300341298,1.5358361774744027,0.8191126279863481,0.7679180887372014,1.1774744027303754,1.4334470989761092,0.5631399317406144,32.54
Leon Avdullahu,Hoffenheim,MF,MF,21.0,2834.0,-0.1134354615607061,-0.39231772364962797,1.2155957702652849,11,0,11.874029640084686,14.036697247706423,72.15243472124206,7.526464361326747,1.111503175723359,0.9527170077628794,1.0479887085391673,0.8574453069865914,0.38108680310515175,0.4763585038814397,33.55
Max Moerstedt,Hoffenheim,FW,FW,19.0,420.0,3.413796455708222,2.0507948260655056,-3.4011775801604913,11,0,15.428571428571429,19.928571428571427,101.35714285714286,12.857142857142858,3.2142857142857144,0.6428571428571429,0.0,3.0,2.142857142857143,0.8571428571428571,32.75
Oliver Baumann,Hoffenheim,GK,GK,35.0,3060.0,-5.371459505365636,-0.8255796275355597,-0.9083826393116328,9,2,6.047058823529412,0.7352941176470589,4.0588235294117645,,,0.0,0.029411764705882353,0.029411764705882353,0.17647058823529413,0.0,31.8
Ozan Kabak,Hoffenheim,DF,DF,25.0,1751.0,-1.1572781180166798,4.384699743171144,-0.16706390859161852,11,0,10.428897772701314,10.074243289548829,42.45573957738435,13.774985722444317,7.19588806396345,0.8737864077669902,1.3363792118789264,1.3363792118789264,0.41119360365505425,0.10279840091376356,33.46
Robin Hranáč,Hoffenheim,DF,DF,25.0,2251.0,-0.9137907573417107,0.6926458857903693,0.29333677764591437,11,0,10.883163038649489,14.51354953354065,58.0541981341626,7.996446023989338,3.758329631274989,0.5997334517992003,0.7996446023989338,1.039537983118614,0.3998223011994669,0.23989338071968014,33.68
Tim Lemperle,Hoffenheim,FW,FW,23.0,1944.0,2.3123204892847737,0.12552530234318837,-1.3531261355825153,11,0,11.13425925925926,28.51851851851852,88.61111111111111,10.046296296296296,1.712962962962963,0.7407407407407407,0.2777777777777778,2.7777777777777777,0.7407407407407407,1.25,34.84
