league,season,player,team,position,position_group,age,minutes,PC1,PC2,PC3,pca1_shooting_score,pca2_team_success_score,pca3_misc_performance_score,observed_features,imputed_features,pca1_observed_features,pca1_imputed_features,pca2_observed_features,pca2_imputed_features,pca3_observed_features,pca3_imputed_features,shooting_goals_per90,shots_per90,shots_on_target_per90,shots_on_target_pct,goals_per_shot,goals_per_shot_on_target,penalties_scored_per90,penalty_attempts_per90,points_per_match,team_goals_for_per90,team_goals_against_per90,plus_minus_per90,on_off_per90,yellow_cards_per90,red_cards_per90,second_yellow_cards_per90,fouls_committed_per90,fouls_drawn_per90,offsides_per90,crosses_per90,interceptions_per90,tackles_won_per90,own_goals_per90
GER-Bundesliga,2025-2026,Alphonso Davies,Bayern Munich,DF,DF,24.0,525.0,0.19508653886950816,2.7180846990337284,-0.43917272596690343,0.19508653886950816,2.7180846990337284,-0.43917272596690343,23,0,8,0,5,0,10,0,0.17142857142857143,0.6857142857142857,0.17142857142857143,25.0,0.25,1.0,0.0,0.0,2.31,4.457142857142857,1.3714285714285714,3.085714285714286,0.67,0.17142857142857143,0.0,0.0,0.34285714285714286,0.8571428571428571,0.0,1.0285714285714285,0.5142857142857142,1.0285714285714285,0.0
GER-Bundesliga,2025-2026,Dayot Upamecano,Bayern Munich,DF,DF,26.0,1794.0,-0.4999638620853343,2.9266667191726854,0.024710544500691753,-0.4999638620853343,2.9266667191726854,0.024710544500691753,23,0,8,0,5,0,10,0,0.05016722408026756,0.4013377926421405,0.10033444816053512,25.0,0.125,0.5,0.0,0.0,2.75,3.862876254180602,0.9531772575250836,2.9096989966555182,0.92,0.20066889632107024,0.0,0.0,0.7525083612040134,0.2508361204013378,0.0,0.3511705685618729,1.0535117056856187,1.3043478260869565,0.0
GER-Bundesliga,2025-2026,Harry Kane,Bayern Munich,"FW,MF",FW,32.0,2377.0,6.396980449598858,2.7050086764427337,-0.9360912742312578,6.396980449598858,2.7050086764427337,-0.9360912742312578,23,0,8,0,5,0,10,0,1.3630626840555322,4.5056794278502315,2.536811106436685,56.30252100840336,0.3025210084033613,0.5373134328358209,0.37862852334875896,0.4164913756836348,2.58,3.7105595288178375,0.9844341607067733,2.7261253681110644,0.8800000000000001,0.03786285233487589,0.0,0.0,0.9465713083718974,1.2116112747160286,0.7572570466975179,0.4543542280185107,0.30290281867900715,0.4922170803533866,0.0
GER-Bundesliga,2025-2026,Hiroki Ito,Bayern Munich,DF,DF,26.0,920.0,-0.3161711105347746,1.6718552136620504,-0.7473910628098072,-0.3161711105347746,1.6718552136620504,-0.7473910628098072,23,0,8,0,5,0,10,0,0.09782608695652174,0.9782608695652174,0.29347826086956524,30.0,0.1,0.3333333333333333,0.0,0.0,2.5600000000000005,3.130434782608696,1.3695652173913044,1.7608695652173914,-1.1,0.0,0.0,0.0,0.9782608695652174,0.29347826086956524,0.0,0.6847826086956522,1.2717391304347827,0.29347826086956524,0.0
GER-Bundesliga,2025-2026,Jamal Musiala,Bayern Munich,"MF,FW",MF,22.0,683.0,1.8993680666260302,2.563945296257102,-0.34784799257254434,1.8993680666260302,2.563945296257102,-0.34784799257254434,23,0,8,0,5,0,10,0,0.3953147877013177,3.953147877013177,1.1859443631039532,30.0,0.1,0.3333333333333333,0.13177159590043924,0.13177159590043924,2.53,4.084919472913616,1.3177159590043923,2.767203513909224,0.31,0.13177159590043924,0.0,0.0,0.6588579795021962,2.3718887262079065,0.0,0.527086383601757,0.3953147877013177,0.6588579795021962,0.0
GER-Bundesliga,2025-2026,Jonas Urbig,Bayern Munich,GK,GK,21.0,1111.0,-0.7182292261674995,1.9677496618105403,-1.8212937116564665,-0.7182292261674995,1.9677496618105403,-1.8212937116564665,20,3,5,3,5,0,10,0,0.0,0.0,0.0,,,,0.0,0.0,2.64,3.2403240324032403,1.215121512151215,2.025202520252025,-0.79,0.0,0.0,0.0,0.0,0.162016201620162,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2025-2026,Jonathan Tah,Bayern Munich,DF,DF,29.0,2018.0,0.1842573292664524,2.4161397845781396,0.2101930152950863,0.1842573292664524,2.4161397845781396,0.2101930152950863,23,0,8,0,5,0,10,0,0.08919722497522299,0.35678889990089196,0.22299306243805747,62.5,0.25,0.4,0.0,0.0,2.61,3.523290386521308,1.0257680872150645,2.497522299306244,-0.09,0.3121902874132805,0.0,0.0,1.1595639246778988,0.267591674925669,0.0,0.044598612487611496,1.1149653121902874,0.8027750247770069,0.0
GER-Bundesliga,2025-2026,Joshua Kimmich,Bayern Munich,MF,MF,30.0,2280.0,-0.324991329058384,2.425761373957404,-0.29604217306739256,-0.324991329058384,2.425761373957404,-0.29604217306739256,23,0,8,0,5,0,10,0,0.07894736842105263,1.105263157894737,0.39473684210526316,35.714285714285715,0.07142857142857142,0.2,0.0,0.0,2.55,3.513157894736842,0.9868421052631579,2.526315789473684,-0.01,0.15789473684210525,0.0,0.0,0.3157894736842105,0.8289473684210527,0.0,4.973684210526316,0.9473684210526315,1.0263157894736843,0.0
GER-Bundesliga,2025-2026,Josip Stanišić,Bayern Munich,DF,DF,25.0,1857.0,0.2375851169153345,2.5823677922543267,-0.6564074463426077,0.2375851169153345,2.5823677922543267,-0.6564074463426077,23,0,8,0,5,0,10,0,0.09693053311793215,0.3392568659127625,0.1938610662358643,57.14285714285714,0.2857142857142857,0.5,0.0,0.0,2.62,3.780290791599354,1.1147011308562198,2.665589660743134,0.35,0.048465266558966075,0.0,0.0,0.3877221324717286,0.5331179321486268,0.1938610662358643,1.7447495961227786,0.8723747980613893,1.0177705977382876,0.0
GER-Bundesliga,2025-2026,Kim Min-jae,Bayern Munich,DF,DF,28.0,1602.0,-0.050184954125882114,1.8956649383762145,-0.10431920694797915,-0.050184954125882114,1.8956649383762145,-0.10431920694797915,23,0,8,0,5,0,10,0,0.056179775280898875,0.2808988764044944,0.16853932584269662,60.0,0.2,0.3333333333333333,0.0,0.0,2.56,3.202247191011236,1.1797752808988764,2.0224719101123596,-1.06,0.056179775280898875,0.0,0.0,0.5056179775280899,0.16853932584269662,0.0,0.056179775280898875,2.134831460674157,1.0674157303370786,0.0
